Name,Cost,Time
c101_21_100.txt,65,48
c101_21_25.txt,72,68
c101_21_50.txt,39,21
c102_21_100.txt,63,7
c102_21_25.txt,82,82
c102_21_50.txt,89,3
c103_21_25.txt,64,39
c103_21_50.txt,22,90
c104_21_25.txt,11,34
c104_21_50.txt,42,67
c105_21_100.txt,11,58
c105_21_25.txt,82,15
c105_21_50.txt,79,20
c106_21_100.txt,17,17
c106_21_25.txt,18,30
c106_21_50.txt,3,68
c107_21_100.txt,94,61
c107_21_25.txt,74,41
c107_21_50.txt,21,33
c108_21_25.txt,82,1
c108_21_50.txt,20,81
c109_21_25.txt,49,16
c109_21_50.txt,59,9
c201_21_25.txt,82,38
c201_21_50.txt,91,8
c202_21_25.txt,89,27
c202_21_50.txt,81,61
c203_21_25.txt,3,30
c203_21_50.txt,27,96
c204_21_25.txt,95,4
c205_21_25.txt,27,54
c205_21_50.txt,1,52
c206_21_25.txt,83,30
c206_21_50.txt,10,42
c207_21_25.txt,36,39
c207_21_50.txt,2,61
c208_21_25.txt,84,79
c208_21_50.txt,87,94
r101_21_100.txt,80,17
r101_21_25.txt,29,87
r101_21_50.txt,19,12
r102_21_100.txt,25,14
r102_21_25.txt,50,2
r102_21_50.txt,63,82
r103_21_25.txt,30,100
r103_21_50.txt,39,85
r104_21_25.txt,38,31
r105_21_100.txt,93,6
r105_21_25.txt,39,85
r105_21_50.txt,42,35
r106_21_100.txt,78,82
r106_21_25.txt,65,79
r106_21_50.txt,23,72
r107_21_25.txt,12,59
r107_21_50.txt,95,89
r108_21_25.txt,67,31
r108_21_50.txt,44,76
r109_21_25.txt,81,4
r109_21_50.txt,98,13
r110_21_25.txt,44,49
r110_21_50.txt,68,88
r111_21_25.txt,60,20
r111_21_50.txt,56,2
r112_21_25.txt,35,69
r112_21_50.txt,92,65
r201_21_25.txt,64,92
r201_21_50.txt,33,58
r202_21_25.txt,14,30
r202_21_50.txt,35,1
r203_21_25.txt,6,96
r203_21_50.txt,81,57
r204_21_25.txt,92,27
r205_21_25.txt,48,12
r205_21_50.txt,12,50
r206_21_25.txt,89,4
r207_21_25.txt,79,1
r208_21_25.txt,1,46
r209_21_25.txt,49,39
r210_21_25.txt,68,8
r211_21_25.txt,6,13
rc101_21_25.txt,3,14
rc101_21_50.txt,9,29
rc102_21_100.txt,67,22
rc102_21_25.txt,12,54
rc102_21_50.txt,100,33
rc103_21_25.txt,5,29
rc103_21_50.txt,97,58
rc104_21_25.txt,32,69
rc104_21_50.txt,47,59
rc105_21_100.txt,71,10
rc105_21_25.txt,9,52
rc105_21_50.txt,34,20
rc106_21_25.txt,3,76
rc106_21_50.txt,72,27
rc107_21_25.txt,64,85
rc107_21_50.txt,26,29
rc108_21_25.txt,98,81
rc201_21_100.txt,51,18
rc201_21_25.txt,71,13
rc201_21_50.txt,25,77
rc202_21_25.txt,65,100
rc202_21_50.txt,42,87
rc203_21_25.txt,39,73
rc203_21_50.txt,59,68
rc204_21_25.txt,9,28
rc204_21_50.txt,12,42
rc205_21_100.txt,67,13
rc205_21_25.txt,21,92
rc205_21_50.txt,55,100
rc206_21_25.txt,27,30
rc206_21_50.txt,57,55
rc207_21_25.txt,87,40
rc207_21_50.txt,30,22
rc208_21_25.txt,70,98
rc208_21_50.txt,27,80
